dataset,codec,bitrate,layer,cosine_mean,cosine_median,cosine_std,drift_mean,drift_median,drift_std,sdrift_mean,sdrift_median,sdrift_std
test-other,mp3,16k,layer_4,0.8486493395566941,0.8491433262825012,0.03821025282530943,0.15135066044330597,0.15085667371749878,0.038210252825309425,0.22760484147071838,0.22655844688415527,0.05599935227727039
test-other,opus,64k,layer_4,0.9947452729940415,0.9966458082199097,0.007145761588580616,0.005254727005958557,0.003354191780090332,0.00714576158858061,0.007536306977272034,0.004914700984954834,0.010062191649937708
test-other,opus,32k,layer_4,0.9763407624959946,0.978511393070221,0.010625068326772246,0.02365923750400543,0.021488606929779053,0.010625068326772251,0.03398557007312775,0.03113478422164917,0.01493273887486226
test-other,opus,16k,layer_4,0.9482746211290359,0.9509619474411011,0.01618751848143031,0.05172537887096405,0.049038052558898926,0.01618751848143031,0.07523628854751586,0.0715794563293457,0.022647320657243668
test-other,opus,12k,layer_4,0.9189763706922531,0.922232449054718,0.021328627907489083,0.08102362930774688,0.07776755094528198,0.021328627907489073,0.11904681408405304,0.11384493112564087,0.03013282895819205
test-other,opus,8k,layer_4,0.7796468642950058,0.7826705574989319,0.04800753250798635,0.2203531357049942,0.21732944250106812,0.04800753250798634,0.32356752943992617,0.32145339250564575,0.07006901975825183
test-other,opus,6k,layer_4,0.7219378793239594,0.7235849797725677,0.049996878218810756,0.27806212067604064,0.27641502022743225,0.04999687821881075,0.4086549146771431,0.4085070788860321,0.07207905060562027
test-clean,mp3,128k,layer_5,0.9953813290596009,0.9961010217666626,0.003094870618985328,0.00461867094039917,0.0038989782333374023,0.003094870618985317,0.006232561707496643,0.005207091569900513,0.004271248618040252
test-clean,mp3,64k,layer_5,0.9931753169298172,0.9939568638801575,0.0033041552322491292,0.0068246830701828,0.006043136119842529,0.0033041552322491383,0.009218661546707153,0.00822150707244873,0.004546179584110001
test-clean,mp3,32k,layer_5,0.9700238554477691,0.9710687100887299,0.008040736760733526,0.029976144552230834,0.02893128991127014,0.008040736760733538,0.04081313765048981,0.03890448808670044,0.011347420499563204
test-clean,mp3,24k,layer_5,0.9321978113651276,0.9356535971164703,0.019935927152012454,0.06780218863487243,0.06434640288352966,0.019935927152012443,0.09232357513904571,0.08639132976531982,0.028174369015490284
